Unnamed: 0,Surname,#Awards,Education,DBLP
0,Khan,10,"['University of Malaya', 'COMSATS University']",119
1,Aalst,0,['Technische Universiteit Eindhoven'],1117
2,Aaronson,4,"['Cornell University', 'University of California, Berkeley']",228
3,Abebe,3,"['Cornell University', 'University of Cambridge', 'Harvard University']",39
4,Abelson,1,"['Princeton University', 'Massachusetts Institute of Technology']",50
5,Abiteboul,4,['University of Southern California'],312
6,Abramsky,4,"[""King's College, Cambridge"", 'Queen Mary University of London']",214
7,Adleman,2,"['University of California, Berkeley']",54
8,Agrawal,8,['Indian Institute of Technology Kanpur'],105
9,Ahn,3,"['Duke University', 'BS', 'Carnegie Mellon University']",84
10,Aho,7,"['University of Toronto', 'Princeton University']",112
11,Allen,6,"['University at Albany', 'University of Michigan']",49
12,Amdahl,2,"['South Dakota State University', 'BS', 'University of Wisconsin', 'MS', 'PhD']",11
13,Anderson,2,"['Wesleyan University', 'University of Wisconsin-Madison']",1690
14,Anthony,6,['Drexel University'],146
15,Appel,0,['Princeton University'],147
16,Aragon,1,"['California Institute of Technology', 'University of California, Berkeley']",98
17,Arden,0,['Purdue University'],36
18,Jones,0,"['Tennessee State University', 'North Carolina State University']",662
19,Arora,0,"['SB', 'Massachusetts Institute of Technology', 'PhD', 'UC Berkeley']",243
21,Atanasoff,2,"['University of Florida', 'Iowa State University', 'University of Wisconsin–Madison']",3
24,Bachman,3,"['University of Pennsylvania', 'Michigan State University']",73
25,Backhouse,0,"['Churchill College, Cambridge', 'Imperial College London']",73
26,Backus,3,"['University of Virginia', 'University of Pittsburgh', 'Haverford College', 'Columbia University']",21
27,Bacon,1,['U.C. Berkeley'],181
28,Bader,5,"['Lehigh University', 'University of Maryland, College Park']",310
29,Bahl,4,"['University of Massachusetts, Amherst', 'Modern School, New Delhi']",129
30,Barr,0,['North Carolina State University'],285
32,Barto,3,['University of Michigan'],218
33,Bauer,3,['Ludwig-Maximilians-Universität'],212
