Index,Surname,#Awards,Education,DBLP
0,Aalst,0,['Technische Universiteit Eindhoven'],1117
1,Aaronson,4,"['Cornell University', 'University of California, Berkeley']",228
2,Abebe,3,"['Cornell University', 'University of Cambridge', 'Harvard University']",39
3,Abelson,1,"['Princeton University', 'Massachusetts Institute of Technology']",50
4,Abiteboul,4,['University of Southern California'],312
5,Abramsky,4,"[""King's College, Cambridge"", 'Queen Mary University of London']",214
6,Adleman,2,"['University of California, Berkeley']",54
7,Agrawal,8,['Indian Institute of Technology Kanpur'],105
8,Ahn,3,"['Duke University', 'BS', 'Carnegie Mellon University']",84
9,Aho,7,"['University of Toronto', 'Princeton University']",112
10,Allen,6,"['University at Albany', 'University of Michigan']",49
11,Amdahl,2,"['South Dakota State University', 'BS', 'University of Wisconsin', 'MS', 'PhD']",11
12,Anderson,2,"['Wesleyan University', 'University of Wisconsin-Madison']",1690
13,Anthony,6,['Drexel University'],146
14,Appel,0,['Princeton University'],147
15,Aragon,1,"['California Institute of Technology', 'University of California, Berkeley']",98
16,Arden,0,['Purdue University'],36
17,Arora,0,"['SB', 'Massachusetts Institute of Technology', 'PhD', 'UC Berkeley']",243
18,Arvind,14,"['IIT Kanpur', 'B.Sc., 1969', 'University of Minnesota', 'M.S.', 'Ph.D.']",3491
19,Atanasoff,2,"['University of Florida', 'Iowa State University', 'University of Wisconsin–Madison']",3
20,Bachman,3,"['University of Pennsylvania', 'Michigan State University']",73
21,Backhouse,0,"['Churchill College, Cambridge', 'Imperial College London']",73
22,Backus,3,"['University of Virginia', 'University of Pittsburgh', 'Haverford College', 'Columbia University']",21
23,Bacon,1,['U.C. Berkeley'],181
24,Bader,5,"['Lehigh University', 'University of Maryland, College Park']",310
25,Bahl,4,"['University of Massachusetts, Amherst', 'Modern School, New Delhi']",129
26,Barr,0,['North Carolina State University'],285
27,Barto,3,['University of Michigan'],218
28,Bauer,3,['Ludwig-Maximilians-Universität'],212
29,Bayer,2,['University of Illinois at Urbana–Champaign'],88
30,Bell,8,['MIT'],133
31,Bellovin,0,"['Columbia University', 'University of North Carolina at Chapel Hill']",167
32,Berners-Lee,5,"[""The Queen's College, Oxford""]",75
33,Bernstein,0,"['University of California, Berkeley', 'New York University']",329
34,Bernus,0,['Budapest Technical University'],73
35,Bhushan,0,"['Indian Institute of Technology Kanpur', 'Massachusetts Institute of Technology', 'MIT Sloan School of Management']",32
36,Bjørner,4,['Technical University of Denmark'],97
37,Blaauw,0,['Delft University of Technology'],13
38,Black,1,['London South Bank University'],856
39,Blei,2,"['Brown University', 'University of California, Berkeley']",291
40,Blum,0,['Brooklyn College'],138
41,Boehm,3,['Harvard University'],385
42,Bollacker,0,[],24
43,Bonwick,0,[],6
44,Booch,2,"['U.S. Air Force Academy', 'B.S.', 'University of California, Santa Barbara', 'M.S.']",129
45,Boole,17,['[3]'],42
46,Booth,0,[],3
47,Borg,18,['New York University'],21
48,Bos,0,[],188
49,Botvinnik,0,[],4
50,Bourne,3,"[""King's College London"", 'BSc', 'Trinity College, Cambridge', 'Diploma in Computer Science', 'Ph.D.']",16
51,Bouwman,0,['VU University Amsterdam'],125
52,Bowen,4,"['University College', 'Oxford']",306
53,Boyer,0,"['Ph.D.', 'Mathematics']",116
